Numer tygodnia;Wojew¢dztwo;Liczba przypadk¢w na 100 tys.
43;DOLNOóL§SKIE;8,69
43;KUJAWSKO-POMORSKIE;4,09
43;LUBELSKIE;8,07
43;LUBUSKIE;7,42
43;ù‡DZKIE;8,25
43;MAùOPOLSKIE;8,59
43;MAZOWIECKIE;6,79
43;OPOLSKIE;8,20
43;PODKARPACKIE;6,76
43;PODLASKIE;7,46
43;POMORSKIE;7,23
43;óL§SKIE;7,44
43;óWI®TOKRZYSKIE;6,64
43;WARMI„SKO-MAZURSKIE;6,40
43;WIELKOPOLSKIE;10,58
43;ZACHODNIOPOMORSKIE;7,72
44;DOLNOóL§SKIE;7,36
44;KUJAWSKO-POMORSKIE;4,81
44;LUBELSKIE;8,02
44;LUBUSKIE;4,18
44;ù‡DZKIE;8,33
44;MAùOPOLSKIE;8,18
44;MAZOWIECKIE;5,55
44;OPOLSKIE;4,64
44;PODKARPACKIE;5,46
44;PODLASKIE;8,88
44;POMORSKIE;6,84
44;óL§SKIE;6,37
44;óWI®TOKRZYSKIE;7,32
44;WARMI„SKO-MAZURSKIE;9,23
44;WIELKOPOLSKIE;7,48
44;ZACHODNIOPOMORSKIE;5,71
45;DOLNOóL§SKIE;6,82
45;KUJAWSKO-POMORSKIE;5,88
45;LUBELSKIE;6,78
45;LUBUSKIE;6,59
45;ù‡DZKIE;7,21
45;MAùOPOLSKIE;8,65
45;MAZOWIECKIE;5,91
45;OPOLSKIE;5,18
45;PODKARPACKIE;5,60
45;PODLASKIE;11,19
45;POMORSKIE;7,32
45;óL§SKIE;5,61
45;óWI®TOKRZYSKIE;6,29
45;WARMI„SKO-MAZURSKIE;6,77
45;WIELKOPOLSKIE;10,05
45;ZACHODNIOPOMORSKIE;6,40
46;DOLNOóL§SKIE;5,96
46;KUJAWSKO-POMORSKIE;5,37
46;LUBELSKIE;5,98
46;LUBUSKIE;5,23
46;ù‡DZKIE;6,74
46;MAùOPOLSKIE;6,79
46;MAZOWIECKIE;6,62
46;OPOLSKIE;6,37
46;PODKARPACKIE;6,33
46;PODLASKIE;7,99
46;POMORSKIE;9,31
46;óL§SKIE;4,71
46;óWI®TOKRZYSKIE;6,29
46;WARMI„SKO-MAZURSKIE;4,91
46;WIELKOPOLSKIE;10,02
46;ZACHODNIOPOMORSKIE;3,70
47;DOLNOóL§SKIE;10,70
47;KUJAWSKO-POMORSKIE;5,11
47;LUBELSKIE;4,93
47;LUBUSKIE;7,74
47;ù‡DZKIE;7,73
47;MAùOPOLSKIE;9,01
47;MAZOWIECKIE;8,92
47;OPOLSKIE;7,12
47;PODKARPACKIE;5,79
47;PODLASKIE;13,32
47;POMORSKIE;10,14
47;óL§SKIE;7,03
47;óWI®TOKRZYSKIE;8,36
47;WARMI„SKO-MAZURSKIE;7,22
47;WIELKOPOLSKIE;13,09
47;ZACHODNIOPOMORSKIE;8,29
48;DOLNOóL§SKIE;17,99
48;KUJAWSKO-POMORSKIE;9,87
48;LUBELSKIE;8,22
48;LUBUSKIE;12,44
48;ù‡DZKIE;11,01
48;MAùOPOLSKIE;18,07
48;MAZOWIECKIE;21,66
48;OPOLSKIE;8,53
48;PODKARPACKIE;13,57
48;PODLASKIE;37,02
48;POMORSKIE;22,09
48;óL§SKIE;11,46
48;óWI®TOKRZYSKIE;21,20
48;WARMI„SKO-MAZURSKIE;18,09
48;WIELKOPOLSKIE;19,60
48;ZACHODNIOPOMORSKIE;13,93
49;DOLNOóL§SKIE;32,31
49;KUJAWSKO-POMORSKIE;19,23
49;LUBELSKIE;11,06
49;LUBUSKIE;31,89
49;ù‡DZKIE;20,30
49;MAùOPOLSKIE;44,74
49;MAZOWIECKIE;51,43
49;OPOLSKIE;18,13
49;PODKARPACKIE;28,44
49;PODLASKIE;76,62
49;POMORSKIE;58,47
49;óL§SKIE;22,33
49;óWI®TOKRZYSKIE;52,05
49;WARMI„SKO-MAZURSKIE;35,96
49;WIELKOPOLSKIE;46,75
49;ZACHODNIOPOMORSKIE;25,67
50;DOLNOóL§SKIE;80,39
50;KUJAWSKO-POMORSKIE;43,77
50;LUBELSKIE;22,17
50;LUBUSKIE;66,07
50;ù‡DZKIE;46,12
50;MAùOPOLSKIE;107,40
50;MAZOWIECKIE;98,44
50;OPOLSKIE;43,60
50;PODKARPACKIE;70,07
50;PODLASKIE;124,65
50;POMORSKIE;133,58
50;óL§SKIE;41,37
50;óWI®TOKRZYSKIE;97,63
50;WARMI„SKO-MAZURSKIE;79,21
50;WIELKOPOLSKIE;101,56
50;ZACHODNIOPOMORSKIE;53,67
51;DOLNOóL§SKIE;100,3
51;KUJAWSKO-POMORSKIE;68,8
51;LUBELSKIE;29,9
51;LUBUSKIE;84,9
51;ù‡DZKIE;71,2
51;MAùOPOLSKIE;151,0
51;MAZOWIECKIE;117,9
51;OPOLSKIE;73,5
51;PODKARPACKIE;106,2
51;PODLASKIE;158,7
51;POMORSKIE;175,8
51;óL§SKIE;62,9
51;óWI®TOKRZYSKIE;115,8
51;WARMI„SKO-MAZURSKIE;93,1
51;WIELKOPOLSKIE;122,1
51;ZACHODNIOPOMORSKIE;59,3
